dat_yer,dst_num,dst_tye,dst_nam,sch_num,sch_nam,sai_mal,sai_fem,api_mal,api_fem,blk_mal,blk_fem,shl_mal,shl_fem,hpi_mal,hpi_fem,oip_mal,oip_fem,wht_mal,wht_fem,smr_mal,smr_fem,tot_mal,tot_fem,tot_mny,tot_tot,cou_num,cou_nam,sch_cls,eco_dev
21-22,1.0,1.0,AITKIN PUBLIC SCHOOL DISTRICT      ,0.0,District Totals,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,41.0,1.0,3.0,44.0,47.0,10.0,91.0,01,Aitkin                                       , ,03 
21-22,1.0,1.0,AITKIN PUBLIC SCHOOL DISTRICT      ,1.0,AITKIN SECONDARY SCHOOL            ,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,38.0,1.0,3.0,43.0,44.0,10.0,87.0,01,Aitkin                                       ,33,03 
21-22,1.0,1.0,AITKIN PUBLIC SCHOOL DISTRICT      ,6.0,AITKIN ALTERNATIVE LEARNING PROGRAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,01,Aitkin                                       ,42,03 
21-22,1.0,3.0,Minneapolis Public School District ,0.0,District Totals,31.0,43.0,56.0,70.0,383.0,408.0,150.0,166.0,1.0,2.0,0.0,0.0,413.0,404.0,16.0,20.0,1050.0,1113.0,1346.0,2163.0,27,Hennepin                                     , ,11 
21-22,1.0,3.0,Minneapolis Public School District ,307.0,Basic Skills                       ,1.0,1.0,3.0,2.0,28.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,41.0,38.0,68.0,79.0,27,Hennepin                                     ,41,11 
21-22,1.0,3.0,Minneapolis Public School District ,346.0,Minneapolis Academy & Career Center,1.0,0.0,1.0,1.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,11.0,15.0,20.0,27,Hennepin                                     ,41,11 
21-22,1.0,3.0,Minneapolis Public School District ,347.0,FAIR High                          ,0.0,4.0,1.0,3.0,5.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,13.0,37.0,32.0,50.0,27,Hennepin                                     ,32,11 
21-22,1.0,3.0,Minneapolis Public School District ,348.0,MERC                               ,0.0,0.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,11.0,19.0,20.0,27,Hennepin                                     ,43,11 
21-22,1.0,3.0,Minneapolis Public School District ,349.0,LORING-NICOLLET HIGH               ,0.0,1.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,8.0,18.0,16.0,26.0,27,Hennepin                                     ,43,11 
21-22,1.0,3.0,Minneapolis Public School District ,352.0,Edison High                        ,2.0,4.0,0.0,5.0,31.0,50.0,12.0,13.0,0.0,0.0,0.0,0.0,27.0,14.0,0.0,1.0,72.0,87.0,118.0,159.0,27,Hennepin                                     ,32,11 
